0.8,0.08,0.8,0.08,0.25,1420,0.2,0.8,0.5,0.5,0.69,0.2,0.001,0.25,0.2,0.6,6000,12,40,24000,40000,750,0.25,0,0.3,0.1,1,0.2,0.2,0.5,0.1,0.05
0.8,0.08,0.8,0.08,0.25,1510,0.2,0.8,0.5,0.5,0.69,0.2,0.001,0.25,0.2,0.6,6000,12,40,24000,40000,750,0.25,0,0.3,0.1,1,0.2,0.2,0.5,0.1,0.05
0.8,0.08,0.8,0.08,0.25,1500,0.2,0.8,0.5,0.5,0.69,0.2,0.001,0.25,0.2,0.6,6000,12,40,24000,40000,750,0.25,0,0.3,0.1,1,0.2,0.2,0.5,0.1,0.05
0.8,0.08,0.8,0.08,0.25,1500,0.2,0.8,0.5,0.5,0.69,0.2,0.001,0.25,0.2,0.6,6000,12,40,24000,40000,750,0.25,0,0.3,0.1,1,0.2,0.2,0.5,0.1,0.05
0.8,0.08,0.8,0.08,0.25,1500,0.2,0.8,0.5,0.5,0.69,0.2,0.001,0.25,0.2,0.6,6000,12,40,24000,40000,750,0.25,0,0.3,0.1,1,0.2,0.2,0.5,0.1,0.05
0.8,0.08,0.8,0.08,0.25,1500,0.2,0.8,0.5,0.5,0.69,0.2,0.001,0.25,0.2,0.6,6000,12,40,24000,40000,750,0.25,0,0.3,0.1,1,0.2,0.2,0.5,0.1,0.05
0.8,0.08,0.8,0.08,0.25,1500,0.2,0.8,0.5,0.5,0.69,0.2,0.001,0.25,0.2,0.6,6000,12,40,24000,40000,750,0.25,0,0.3,0.1,1,0.2,0.2,0.5,0.1,0.05
0.8,0.08,0.8,0.08,0.25,1500,0.2,0.8,0.5,0.5,0.69,0.2,0.001,0.25,0.2,0.6,6000,12,40,24000,40000,750,0.25,0,0.3,0.1,1,0.2,0.2,0.5,0.1,0.05
0.8,0.08,0.8,0.08,0.25,1500,0.2,0.8,0.5,0.5,0.69,0.2,0.001,0.25,0.2,0.6,6000,12,40,24000,40000,750,0.25,0,0.3,0.1,1,0.2,0.2,0.5,0.1,0.05
0.8,0.08,0.8,0.08,0.25,1500,0.2,0.8,0.5,0.5,0.69,0.2,0.001,0.25,0.2,0.6,6000,12,40,24000,40000,750,0.25,0,0.3,0.1,1,0.2,0.2,0.5,0.1,0.05
